Text	Emotion
When my grandmother, who has been living with us for 14 years, had a stroke and was left paralysed on one side. She has been quite close to our family and to see her suffer in this way makes me feel really sad.	4
The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry.	0
 Well , I like playing the violin . 	3
After having left the company of someone who gave me a lot of support and made me laugh, found myself alone for days on end.	4
 Wow . We don't get to see this in the city ! 	2
I was angry with a person who behaved terribly at a ball offending her relatives.	0
Modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with Soutine and her . 	2
 What about ? 	3
 How are you feeling ?	3
 Is it gonna hurt ? 	1
 What kind of solution can I have now ? I nearly go crazy now . 	4
She started like a frightened cat , and looked up at him wide-eyed . 	1
A woman I know is slowly dying from cancer. Observing this process makes me sad.	4
I felt very happy when I won the football pools.	2
When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals.	0
When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.	1
 Oh , that's terrible ! What bad luck ! I wish we had never come to this country.But , if it isn't the strikes and the revolutionaries , it's the earthquakes.Our operations here are finished ! 	4
When I had achieved a goal indirectly. I work for CAL Football and our 2nd win of the season was very gratifying and brought our joy because of the hard work involved and the fact that no one expected we would win.	2
When I received a beautiful birthday gift form my parents.	2
hate U	0
After my vacations, one day after a lecture it occured to me to buy a rose for my mother.  We went together to a pub and my mother told me that she would be getting married next Spring.  I did not known about it and so was all the more glad.	2
 Goodbye . 	3
After I had been away for a long time a friend told me that I had passed all my written examinations.	2
Please excuse me , but I really have to be going . 	3
When my best friend promised to come at my house and I had to prepare so many expensive things for her but only to learn at last that she would not turn up.	4
When we still attended school, my brother and I usually went to see our aunt and to show her our term's report. She rewarded us with money. Although my reports were as good as my brother's, he got more money.	0
 You come dressed in anything from the sixties . 	3
 Oh , we never speak Spanish in class ! Miss.Parker speaks to us only in English . 	3
I've moved . 	3
One evening I stayed at home all alone. As we lived on the ground floor, I was often afraid of burglers.	1
You look so happy , Anna . Any good news ? 	2
 Here is a good place . Let's get out . 	2
My sister once stole my mother's money and made her very angry.  After this my mother would beat her up for unreasonable reasons.  One day my sister lent her book to a friend without telling my mother about it.  When my mother learnt this she beat her up and even threatened her with a pair of scissors.  	0
I am spell-bound by the sound of French , infuriated when I can't read it in the books I am given . 	0
 I know ! I was in ankle deep water trying to get to my car that day ! The handyman definitely has his work cut out for him . 	0
In a course I thought that I deserved good marks but I only got ordinary marks with no justification as to why I was given these marks.	0
 Forsythia . It's also called winter jasmine which is the symbol of the spring's arrival . 	2
I felt fear once, when the car in which I travelled directed towards the precipice along the road.	1
 What ? 	3
 Unfortunately , I missed a chance to see a classic movie . 	4
 No , how much is it worth ? 	3
 Yes , but there is nothing inside the drawers or on the desk . 	4
Are you telling us a lie again ? 	3
When my boyfriend sat up half the night playing computer games with a friend.	0
I was very happy when I got the message that I had been accepted as a student in medicine.	2
A few months a close relative of mine died.  I had never expected this to happen and was sad for a few months.	4
 You can ask me any question at any time . 	2
 And my first nephew . He looks a lot like you , mum . He does . 	2
 How come ? 	3
But he 'd become depressed about his exams and couldn't concentrate on his work . 	4
That certainly didn't sound serious enough to account for her great grief . 	4
Can you study with the radio on ? 	3
Years ago I fell in love for the first time. as natural for every school-girl I was day-dreaming. Later (after 3 years) we left each other. No one was to blame but I felt deep sadness. Even now I remember about it quite often.	4
At an office an application that I had made was turned down because of a scrupulous interpretation of the rules.	0
 What's your favorite flower ? 	2
` I am desperately sad that our scheme did not come to fruition but I am glad that someone will take it over and bring these jobs to the area . 	4
Before the exam.	1
I tried my level best to care for my client, I took an appointment with a doctor and before meeting the doctor he expired - a poor small boy from Uttar Pradesh.	4
When I was told that my father had passed away.	4
 If I were you , I would put the whole matter on the table . 	3
 And ? 	3
Disagreements with mother.  When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance. 	0
@tonyreilly I will not be attending  today due to severe #shame #hangover. I will send my best wishes though. Love'n'bubbles	1
You look so tan and healthy ! 	2
@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:	1
 My dissertation . I put it somewhere last night and I can't find it now . 	4
Sitting alone in a quiet room, concetrating on things happening around you. Thoughts come into my mind which make me afraid.	1
I went swimming , and I was so happy I cried into the sea for three-quarters of an hour . 	2
 The door bell doesn't work , the sink is leaking 	0
Crossing a street of several ways the cars began to move and I thought that I was going to be trampled.	1
 Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! 	3
When I was forced to call the telephone company about a bill concerning a disconnected phone belonging to my landlord.  The bill was four months overdue and in the meanwhile he had been using my phone, he seemed to have no intention of having his own phone reconnected.	0
 Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . 	0
On the last day of my school life I was very sad, specially on the farewell party day.  I felt sad to leave behind my beloved teachers and friends.	4
When I impregnated a certain girl, I thought that I would be forced to marry her or go to court.	1
Watching the Asian Olympic game (China winning).	2
John 's father came down from Cheltenham to see her , grieving and concerned for her future . 	1
 Hi . 	3
They promised us a sea view . 	0
The loss of a very good friend.	4
When I came across an old friend whom I had not seen for a very long time.	2
 Oh , I'm terribly sorry . but I couldn't find the yoghurt I saw here last time . 	4
 It'll begin at nine o'clock sharp . 	3
Always when I meet the person I love.	2
Following this there was considerable despondency amongst the committee as there seemed to be little hope for the future . 	4
As a child - having a dog - it getting a disease and dying.	4
Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? 	3
After each successfully passed exam I am happy.	2
I shot the decisive goal in an ice-hockey match.	2
When my grandparents moved to another part of the town.	4
 to be honest , I'm a bit fed up . 	0
 No wonder . 	3
Christmas Eve: there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad.	4
What do you like to do in your spare time ? 	3
A friend told me that he had suffered in love and in academics.  I shared his sadness.	4
Passing an exam I did not expect to pass.	2
In her incensed whisper she called me names I didn't understand . 	0
Both her mother and Lisa had been cross with her ; they both had felt she ought to settle down . 	0
The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . 	1
I'm going crazy . 	0
Some says is #Weakness i think its Something Normal were humans Not Gods , be Scared make mistakes the more Experience the more U Grow	1
Treatment to become pregnant with a negative result.	4
Suddenly , to her relief , the telephone rang , Joanna picked it up , wrote down the message , and came back to the table , looking elated . 	2
 What is it ? 	3
 Ha ! It's not like you've ever been one to beat around the bush . 	3
 That ’ s it . Thank you . 	2
I was waiting to receive the participation on the profits and did not receive it.	0
 This is ridiculous ! In Taiwan , it is much easier to get medicine when I need it . 	0
 Stop picking on me . I am going to be mad . 	0
I got a present from a great friend (a dog).	2
One night, walking along a park, I began to think that some roughnecks would appear suddenly with knives and things like that.	1
Walking in the dark and thinking about ghost stories.	1
There was a hint of exasperation in his voice . 	0
 Eleven , ... 	3
They do care about others and are concerned about their country 's future . " 	1
 now that I look back at it , it wawsn't that big a deal . I shouldn't have lost my temper . 	4
It was the time I went home for my holidays only to find that my sister had passed away.  The news had been hidden from me, so that I could take my exams.	4
He seemed exasperated , though well in control . 	0
` Now that I 've seen the finished copy I 'm delighted that I encouraged Susan to write it , " said Mrs Major . 	2
   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny	1
 Great idea ! Peter , I could use the drink . 	2
In the longer term the offspring of depressed mothers are more likely to suffer from childhood depression . 	4
 My phone ? 	3
A close friend travelled to another country. When I knew that he would only come back after many years, I felt very sad.	4
At once regretting that she had let herself become riled , she delved into her bag and came out with a bar of soap . 	0
 I think so.Yes , they get along so well . 	3
 Got it . Thank you , Shirley . 	2
 Follow me . 	3
Vitor went down on his hunkers and , much to the child 's glee , spent a minute or two admiring the toy . 	2
I had gone home for a week-end and when I came back I found that my clothes and my bedding had been stolen.	0
He was exhilarated when he heard Ornette Coleman improvising free jazz with his plastic saxophone at a club .	2
It was on 9th January 1983 when I received a message from home telling me that my father passed away on the previous day with a history of cancer of the oesophagus. This time I was doing my third year of my Secondary School.	4
A rainy day, I was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks.  I somersaulted but had no injuries.	1
When I got the feeling that I had to do all the housekeeping while my boyfriend didn't do anything. This happened in a period of exams when I had to study very hard.	0
 Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . 	3
 Amazing . The sun is almost gone and yet there is still color everywhere ! 	2
 My mistake . 	4
It was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use . 	2
His grief-stricken widow destroyed all his cricket clothes and equipment . 	4
 Do you guys do anything special ? 	2
Aston Villa are having a great run , but they hold no particular horrors for the Norwich players . 	1
 No , I'm not . 	4
When I had to give a speech about some historical event, to an audiece of about 200 people my own age whom I did not know.	1
2 TIX TO TONIGHT'S @OfficialPWG BUT NO FUCKING RIDE!!! FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK	1
If I said I nothing, I'd be a lying. I'm deathly afraid of grown, straight men with uncomfortably high voices. #WhyDoYouSoundLikeThat	1
The week before I entered to army, when we were being selected. During 5 days I had to pass 10 hours a day waiting for the answer, which at last was the worst. The fear of being convoked, of hearing the fated phrase, was constant.	1
not afraid of tomorrow, for I have seen yesterday and I love today #less	1
When I saw my family after a separation of one year.	2
` Poor things , no life of their own , " they say , simultaneously thrilled and appalled as they pore over the latest ` revelations " in the Mail or Express . 	2
Meeting best friend at the airport (boyfriend) who I had missed terribly.	2
 On the contrary , very exciting . 	3
go this season  needs you, the word can not happen w/o you	1
What a nice tie you are wearing ! 	2
I'm tired of you always wearing my clothing ! 	0
Winning Queensland Chess Championship.	2
Confronted outside a party by some very nasty character - gesturing to a car full of mean-acting friends - felt in danger.	1
Question: Do you live in a world of or #Love	1
I felt very sad when I left home because I could not stand it any longer. I do not regret it, but I missed my little sister very much (and she missed me). These feelings wear off over time.	4
When my grandmother died; I had a stronger relation to her than to my mother.	4
 How's your married life ? 	2
 Thanks . 	3
Floyd Patterson has expressed dismay over the current treatment . 	1
 Terrible . 	4
A friend of mine is having psychiatric problems because of his mother's death ages ago. He is really quiet and because it relates back to his childhood I feel sadness for him. He doesn't lead a normal life and it just seems unfair.	4
` Damn ! " she muttered in exasperation . 	0
I was miserable with cold , but although I was prepared to admit that I was miserable , I wasn't prepared to admit that my misery had any connection with cold . 	4
I'm worrying that she may be lost . 	4
When I heard that I was not to be provided with another pair of medical uniform.	0
As for disgust.	0
 oh . 	3
When I could not reason my friend, it angered me.	0
When I got a message that my child was not feeling well.	4
When I first came to the campus.	2
I felt joyful when my boyfriend met me at the station, while at first he had said that he would not do that.	2
Who is it ? 	3
 $ 50 . 	3
Oh , my god . What happened ? Are we dying ? 	1
Merry Christmas , Bill ! 	2
water level rising near my home  #Flooding	1
Since many parents were miserable at being separated from their offspring and it would be a struggle for some to pay money for their misery , they finally decided to have them home again . 	4
 What are you talking about ? Let me see that ... What are horoscopes ? 	3
Geographical moves have been found to be third most important in a list of ten precipitants concentrated in the month before the onset of depressive symptoms , in forty consecutive clinically depressed patients . 	4
A party with no worries (i.e. no tests homework etc.) many friends were present and good music.	2
 you mean you got working experience , right ? 	3
 No . I couldn ’ t find a policeman . 	4
 I don ’ t know what happened to me . I just lost it . 	4
I was sleeping when I heard the neighbours screaming, I peeped through the window and saw a thief  trying to enter my neighbour's house.	1
I didn't like my former fob and felt joy when I received a telegram offering me a new one that I though better and for which I had been waiting.	2
I did not quite succeed in breast feeding my baby.	4
 Sorry . How far is the museum ? 	3
My cat died from an illness.  It had been with us for 7 years.  It was a lovely cat.  It had been ill for one or two weeks and the veterinary surgeon had told us that it was dying.	4
A very close friend from Victoria visited me over the holidays. Having enjoyed his company immensely over 10 short days, I was overwhelmed by sadness when he left to return to Victoria 	4
When another patron tried to step in , the enraged lover flew at him . 	0
I got caught shoplifting a package of gummy bears.	1
` Don't be despondent , " she told me . 	4
Walking at friday night through Nijmegen, going to a pub or a disco.	1
I received a poor grade on a midterm even though I got all the right answers and knew the material. I went to the TA to try to raise my grade and he wouldn't do it.	0
 Haven't you heard that he is in prison ? 	3
Pretty ! Say beautiful rather . Can you imagine any thing nearer perfect beauty than she altogether-face and figure ? 	2
 I had meetings back to back all morning . And phone rang off the hook from the minute I walked into the office . 	4
I had a cousin whom I loved so much. Unfortunately she passed away suddenly and one time I had a dream in which I was talking to her yet she is dead.	1
 I have done a lot of reading comprehension exercises , and I also spend much time in memorizing English words . 	4
When your back from a busy day, didnt get to watch the match and than realize I hope I recorded  :| 	1
 Apparently Skipper landed , felt extremely pleased with himself and threw an enormous buck with a twist in it . 	2
Anger with boyfriend's best friend for alienating me and blaming me for personality changes in my boyfriend and changes in my boyfriend's attitude to him and his obvious egoistical attitude himself in doing so. I also lost one of my best friends - his girlfriend.	0
When I saw a few people beating a man who seemed to be a stranger.	0
 I would like to compliment you on your diligence . 	2
Mr Hamilton said : ` I am deeply concerned at what you have told me and I shall ask for immediate steps to be taken for normal decencies to be observed . " 	1
 You can say that again ! It's much more modern than people imagine . Where are you from ? 	3
I remember being sad whe my aunt's child died (2 days old).	4
 See you . 	0
 I said it's a lovely day . Why don't we go for a walk ? 	3
I was told that a friend of mine was going to Mexico for good.	4
I was brave enough ta b born in da world none	1
 What is it ? 	3
My sister lost one of her twin sons (my first nephews) and then the older one died a week later.	4
 When ? 	3
 Yes , The SARS epidemic is not under effective control yet . So I'd better not risk it . 	3
What would you be doing right now if you wasn't afraid... Don't let stop you!!!!	1
When I learnt that my younger sister had been expelled from secondary school because she was pregnant.  That was the second time that this happened in the family - the first time it had been my elder sister.	0
I can't stand being with you any more . I'm sick of your drinking . 	0
When I had gone for a boxing tournament which ended at 2 o'clock in the morning.  I was alone on my way back, and I could hear the barking of the dogs, the nocturnal animals and the sound of my     own footsteps.  There had been a rumour  circulating that there were ghosts in that area.	1
 And later ? 	3
 Hello ? Can you help me ? My computer ! Oh man ... 	1
When my friends left without waiting for me, after we had arranged to go out together.	0
When I woke up after a nightmare.	4
I am afraid of my academic results as I will face several problems.  I am scared of my limitations and the unlimited problems and I do not know how to cope with them.	1
 The heating controls don't work anymore , so it always feels like it's about 100 degrees in the car — even in the summer ! 	0
When I got an unexpected letter from  a guy, who had been my school mate.	2
 I really wish I hadn ’ t done it . 	4
When I knew about my sister's in law finacial situation and what she was facing.	4
My girlfriend left the house in which we lived together a few months ago. This made me very sad.	4
OK , Hello ! 	3
I once was accused of falling in love with someone's girlfriend which was not true because the girl was just a friend of mine.	0
Finding out that China is poor, so we cannot have good reference books.	4
These days he is quite happy travelling by trolley . 	2
 All right , I will explain it to you later on . Now scram . 	3
 Of course . 	3
Squeezed like despondent sardines , they looked as if they were huddling for warmth . 	4
My boyfriend suffered form ill health for some months, this week the physician told him that he was restored to health.	2
Hey , Cindy , I ’ m so sorry about yesterday . I shouldn ’ t have yelled at you in front of everyone . 	4
Ahhhh!!! I'm worried about the dentist why did I put it off so long!! 	1
 Nah ! This is boring ! I ’ m gonna go play Killer Zombies on my PlayStation ! 	4
I felt extreme joy the day I was baptized. I was one with God.	2
 I agree . Are there any commercials on the TV ? 	3
I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset . 	2
not afraid of tomorrow, for I have seen yesterday and I love today #less	1
 I won't . 	3
 That ’ s right , we bought it the same day we came on the market . 	3
His smile was patient , peeved , and very sad . 	0
For Swift , there is a connection between cosmetics and prostitution ; the carefully assembled exterior often conceals both physical horror and moral contamination . 	1
When one of my closest friends died unexpectantly.	4
 Uh , yes . 	3
The enraged animal charged into Christopher Rogers , pinning him to the ground . 	0
I was afraid to walk through the forest one day when I dropped off the bus around 6.30 pm.	1
 Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist . 	3
 Colorado . 	3
When I was house-hunting: Another person got a flat that I would have liked, too, because he heaped a floot of words on the letter.	0
 Everyone from school . 	3
 Ah ... 	3
For the owner , it can mean heartbreak at the loss of a family pet . 	4
Robyn leant against the door to the office and found herself experiencing the old , familiar surge of deep annoyance . 	0
There was one teacher who used to get so mad that she would throw slates around , with the whole class ducking out of the way . 	0
I reached the bus stop and realized that I had forgotten my bus pass.	0
I felt very sad when a friend of mine failed the final exam and she could not be accepted at the institution of learning.	4
 I see . Oh , wait . Ma'am , I'm sorry . These slacks were on sale . 	4
When you told everyone in the last lecture you will do all lectures again in English and everybody can come (not only English classes)	2
 So you are . 	3
 Let's hope this stroke of good luck lasts . I hope we are over our financial difficulties for good . 	2
 Frightened ? You must be joking . 	3
When we got a young dog.	2
miss geng-2 clan , bila la aku bole join korang ? :/	1
I felt glad when I took the rather difficult organic chemistry examination.	2
 Sounds good . The food there is fantastic , too . 	2
 I'm very sorry about this . 	4
More then 40,000 ecstatic fans filled stadia each night to scream at the girly they instantly dubbed the Mighty Minogue . 	2
Angry with my brother, who was making fun of me, teasing me.	0
A stranger to the district , coming over a brow of the hill , would have stopped astonished and perhaps a little peeved to see Ploughman 's Lane lying beneath him . 	0
A member of a religious sect tried to convert me, using really evil tricks to persuade me.  After he had left, I was anxious and angry for a long time. After the event, I was alone.	0
It 's possible to be sad about your babies becoming children , and yet accept the fact that you won't have any more . 	4
How is he ? 	3
My sister was impolite to my father when the family was having lunch together at a restaurant.  She thought that our parents had been prejudiced against her, this was an extreme thought.	4
 That's all right . But why were you so rude to me at lunch . 	3
 Oh , sorry . I didn ’ t notice it . Sorry . 	4
A night out watching airplanes! If only i cud enjoy getting on it as much as i enjoy watching it fly across the sky 	1
 Make it three cups . Here comes Harry . 	2
 Great , because I am really mad at William . I mean , what kind of an idiot wouldn't be able to appreciate a smart , beautiful woman like me ? Anybody who would be friends with that guy has to be really dumb . 	0
